identical_amino_acids,coancestry_distribution,convergent_evolution_distribution
27726,23639,12758
27726,23692,12620
27726,23703,12484
27726,23723,12685
27726,23659,12566
27726,23740,12700
27726,23680,12588
27726,23688,12612
27726,23683,12641
27726,23707,12654
27726,23598,12708
27726,23740,12530
27726,23647,12568
27726,23646,12614
27726,23702,12720
27726,23775,12601
27726,23648,12447
27726,23690,12658
27726,23680,12506
27726,23683,12657
27726,23739,12568
27726,23646,12686
27726,23564,12648
27726,23600,12638
27726,23662,12603
27726,23709,12558
27726,23721,12682
27726,23698,12628
27726,23710,12571
27726,23740,12643
27726,23625,12730
27726,23731,12385
27726,23704,12718
27726,23797,12593
27726,23736,12757
27726,23594,12582
27726,23746,12609
27726,23762,12624
27726,23725,12728
27726,23693,12653
27726,23571,12678
27726,23555,12722
27726,23658,12624
27726,23659,12620
27726,23601,12581
27726,23695,12711
27726,23771,12683
27726,23664,12562
27726,23685,12617
27726,23662,12562
27726,23627,12663
27726,23605,12690
27726,23766,12643
27726,23766,12759
27726,23574,12555
27726,23642,12624
27726,23685,12628
27726,23654,12730
27726,23628,12585
27726,23711,12599
27726,23604,12589
27726,23528,12703
27726,23696,12639
27726,23690,12589
27726,23685,12600
27726,23581,12591
27726,23630,12555
27726,23701,12633
27726,23614,12555
27726,23710,12626
27726,23737,12512
27726,23734,12402
27726,23742,12619
27726,23640,12703
27726,23677,12663
27726,23631,12550
27726,23647,12510
27726,23670,12657
27726,23656,12638
27726,23700,12576
27726,23603,12567
27726,23605,12734
27726,23741,12614
27726,23650,12481
27726,23683,12608
27726,23571,12579
27726,23660,12573
27726,23600,12661
27726,23707,12711
27726,23664,12607
27726,23659,12669
27726,23742,12666
27726,23638,12677
27726,23689,12626
27726,23721,12532
27726,23648,12709
27726,23562,12653
27726,23684,12608
27726,23746,12591
27726,23653,12638
27726,23712,12594
27726,23530,12558
27726,23781,12770
27726,23645,12516
27726,23648,12591
27726,23747,12514
27726,23653,12529
27726,23669,12497
27726,23798,12737
27726,23609,12615
27726,23757,12683
27726,23588,12547
27726,23694,12632
27726,23653,12698
27726,23640,12682
27726,23682,12554
27726,23739,12653
27726,23662,12625
27726,23610,12713
27726,23729,12543
27726,23634,12704
27726,23644,12488
27726,23826,12632
27726,23590,12742
27726,23679,12656
27726,23679,12592
27726,23713,12845
27726,23648,12742
27726,23693,12750
27726,23596,12673
27726,23641,12612
27726,23627,12652
27726,23738,12526
27726,23645,12501
27726,23761,12607
27726,23677,12672
27726,23679,12629
27726,23737,12553
27726,23711,12685
27726,23606,12685
27726,23627,12641
27726,23730,12751
27726,23629,12679
27726,23738,12563
27726,23673,12582
27726,23734,12620
27726,23730,12674
27726,23604,12696
27726,23668,12672
27726,23679,12665
27726,23666,12553
27726,23638,12502
27726,23708,12673
27726,23667,12565
27726,23754,12589
27726,23755,12646
27726,23702,12625
27726,23692,12504
27726,23677,12547
27726,23644,12558
27726,23762,12606
27726,23758,12636
27726,23729,12611
27726,23692,12653
27726,23731,12625
27726,23671,12622
27726,23637,12566
27726,23660,12591
27726,23699,12617
27726,23626,12650
27726,23686,12671
27726,23677,12528
27726,23639,12675
27726,23671,12754
27726,23681,12655
27726,23661,12506
27726,23671,12579
27726,23686,12673
27726,23660,12576
27726,23676,12661
27726,23636,12687
27726,23689,12574
27726,23709,12623
27726,23668,12598
27726,23664,12656
27726,23552,12665
27726,23662,12574
27726,23656,12644
27726,23704,12669
27726,23726,12637
27726,23663,12585
27726,23776,12564
27726,23738,12607
27726,23631,12648
27726,23575,12550
27726,23596,12509
27726,23651,12440
27726,23660,12661
27726,23698,12649
27726,23612,12580
27726,23668,12530
27726,23647,12716
27726,23650,12645
27726,23707,12415
27726,23723,12453
27726,23658,12711
27726,23780,12591
27726,23596,12617
27726,23693,12794
27726,23652,12484
27726,23739,12586
27726,23713,12588
27726,23689,12542
27726,23704,12662
27726,23703,12648
27726,23672,12649
27726,23631,12584
27726,23653,12725
27726,23629,12635
27726,23631,12609
27726,23732,12557
27726,23705,12520
27726,23716,12683
27726,23625,12605
27726,23591,12478
27726,23719,12538
27726,23670,12627
27726,23726,12685
27726,23698,12651
27726,23753,12752
27726,23654,12564
27726,23701,12573
27726,23739,12548
27726,23760,12728
27726,23617,12571
27726,23736,12411
27726,23698,12600
27726,23723,12679
27726,23666,12559
27726,23687,12596
27726,23682,12511
27726,23672,12550
27726,23598,12547
27726,23632,12634
27726,23620,12642
27726,23632,12540
27726,23696,12639
27726,23655,12578
27726,23702,12599
27726,23602,12506
27726,23740,12606
27726,23628,12686
27726,23735,12575
27726,23705,12518
27726,23701,12506
27726,23763,12718
27726,23660,12479
27726,23731,12675
27726,23615,12469
27726,23676,12760
27726,23734,12508
27726,23736,12641
27726,23683,12568
27726,23704,12584
27726,23652,12611
27726,23735,12608
27726,23633,12705
27726,23616,12532
27726,23756,12622
27726,23687,12642
27726,23727,12562
27726,23622,12683
27726,23666,12643
27726,23782,12696
27726,23661,12544
27726,23653,12777
27726,23747,12630
27726,23623,12651
27726,23689,12484
27726,23576,12646
27726,23734,12555
27726,23773,12670
27726,23785,12716
27726,23661,12500
27726,23677,12789
27726,23726,12602
27726,23669,12563
27726,23728,12637
27726,23682,12663
27726,23698,12695
27726,23682,12488
27726,23541,12646
27726,23698,12596
27726,23595,12693
27726,23630,12602
27726,23691,12522
27726,23636,12613
27726,23642,12711
27726,23751,12712
27726,23632,12582
27726,23716,12727
27726,23699,12459
