identical_amino_acids,coancestry_distribution,convergent_evolution_distribution
12583,11233,7304
12583,11234,7409
12583,11214,7449
12583,11240,7479
12583,11217,7330
12583,11203,7309
12583,11197,7417
12583,11242,7486
12583,11203,7395
12583,11283,7520
12583,11224,7470
12583,11194,7383
12583,11206,7444
12583,11269,7443
12583,11272,7459
12583,11196,7439
12583,11240,7517
12583,11236,7416
12583,11221,7419
12583,11183,7512
12583,11177,7339
12583,11262,7470
12583,11242,7381
12583,11258,7419
12583,11251,7417
12583,11258,7346
12583,11226,7402
12583,11169,7463
12583,11190,7499
12583,11284,7440
12583,11262,7480
12583,11257,7407
12583,11260,7426
12583,11230,7408
12583,11270,7389
12583,11193,7438
12583,11263,7355
12583,11225,7468
12583,11217,7451
12583,11214,7452
12583,11338,7417
12583,11212,7382
12583,11267,7431
12583,11240,7422
12583,11237,7461
12583,11237,7370
12583,11280,7411
12583,11238,7366
12583,11322,7374
12583,11278,7425
12583,11200,7434
12583,11241,7402
12583,11210,7453
12583,11210,7486
12583,11229,7300
12583,11248,7427
12583,11190,7392
12583,11236,7498
12583,11254,7360
12583,11330,7437
12583,11223,7449
12583,11243,7433
12583,11238,7357
12583,11277,7387
12583,11240,7432
12583,11209,7407
12583,11240,7417
12583,11224,7385
12583,11271,7417
12583,11228,7453
12583,11241,7416
12583,11262,7415
12583,11259,7448
12583,11255,7333
12583,11231,7462
12583,11192,7412
12583,11220,7443
12583,11246,7399
12583,11232,7416
12583,11222,7460
12583,11249,7298
12583,11193,7438
12583,11257,7428
12583,11230,7429
12583,11193,7432
12583,11163,7490
12583,11261,7474
12583,11279,7540
12583,11227,7473
12583,11240,7425
12583,11233,7397
12583,11243,7406
12583,11251,7437
12583,11289,7280
12583,11239,7469
12583,11205,7497
12583,11254,7421
12583,11265,7416
12583,11224,7406
12583,11224,7435
12583,11248,7365
12583,11293,7431
12583,11271,7451
12583,11273,7448
12583,11235,7372
12583,11226,7456
12583,11255,7409
12583,11263,7455
12583,11215,7437
12583,11225,7437
12583,11236,7432
12583,11255,7389
12583,11228,7444
12583,11242,7443
12583,11249,7552
12583,11218,7427
12583,11215,7454
12583,11286,7447
12583,11254,7395
12583,11206,7375
12583,11259,7415
12583,11235,7491
12583,11301,7422
12583,11276,7431
12583,11227,7374
12583,11224,7398
12583,11245,7334
12583,11302,7363
12583,11217,7479
12583,11224,7427
12583,11234,7451
12583,11211,7442
12583,11218,7437
12583,11212,7398
12583,11155,7473
12583,11182,7398
12583,11273,7352
12583,11241,7381
12583,11225,7437
12583,11218,7455
12583,11233,7333
12583,11275,7486
12583,11237,7431
12583,11293,7403
12583,11273,7439
12583,11230,7361
12583,11217,7434
12583,11235,7432
12583,11275,7481
12583,11259,7458
12583,11257,7384
12583,11222,7465
12583,11262,7461
12583,11293,7341
12583,11215,7446
12583,11202,7378
12583,11214,7476
12583,11172,7444
12583,11187,7386
12583,11192,7425
12583,11237,7437
12583,11225,7393
12583,11208,7411
12583,11174,7414
12583,11254,7498
12583,11212,7404
12583,11313,7403
12583,11220,7386
12583,11271,7436
12583,11288,7456
12583,11180,7385
12583,11194,7443
12583,11253,7356
12583,11196,7459
12583,11271,7374
12583,11257,7502
12583,11260,7375
12583,11269,7403
12583,11266,7431
12583,11247,7482
12583,11229,7384
12583,11296,7351
12583,11273,7385
12583,11197,7404
12583,11243,7404
12583,11234,7462
12583,11277,7399
12583,11256,7365
12583,11258,7437
12583,11217,7461
12583,11173,7422
12583,11260,7442
12583,11189,7402
12583,11257,7410
12583,11213,7447
12583,11261,7441
12583,11202,7366
12583,11270,7428
12583,11297,7431
12583,11213,7424
12583,11221,7388
12583,11249,7372
12583,11239,7445
12583,11265,7451
12583,11193,7395
12583,11252,7386
12583,11217,7420
12583,11182,7491
12583,11194,7403
12583,11208,7475
12583,11236,7366
12583,11253,7581
12583,11231,7400
12583,11210,7472
12583,11166,7446
12583,11282,7416
12583,11174,7396
12583,11163,7490
12583,11234,7432
12583,11260,7400
12583,11207,7439
12583,11329,7441
12583,11212,7366
12583,11250,7378
12583,11218,7452
12583,11345,7515
12583,11272,7498
12583,11209,7273
12583,11186,7386
12583,11244,7377
12583,11173,7430
12583,11270,7387
12583,11285,7432
12583,11245,7442
12583,11243,7372
12583,11219,7434
12583,11254,7452
12583,11272,7426
12583,11240,7433
12583,11175,7474
12583,11263,7436
12583,11226,7403
12583,11234,7456
12583,11281,7437
12583,11292,7453
12583,11266,7495
12583,11284,7386
12583,11272,7533
12583,11220,7312
12583,11213,7421
12583,11213,7348
12583,11217,7519
12583,11234,7435
12583,11297,7431
12583,11277,7412
12583,11242,7485
12583,11236,7477
12583,11242,7396
12583,11249,7431
12583,11173,7448
12583,11308,7447
12583,11175,7463
12583,11269,7469
12583,11256,7441
12583,11194,7429
12583,11248,7437
12583,11230,7505
12583,11191,7448
12583,11198,7435
12583,11259,7420
12583,11238,7320
12583,11244,7386
12583,11268,7430
12583,11263,7360
12583,11207,7418
12583,11226,7483
12583,11254,7461
12583,11262,7417
12583,11238,7462
12583,11199,7445
12583,11238,7362
12583,11290,7443
12583,11289,7467
12583,11275,7464
12583,11213,7439
12583,11247,7424
12583,11229,7480
12583,11245,7426
12583,11212,7464
12583,11242,7444
12583,11262,7429
12583,11234,7348
12583,11211,7463
12583,11274,7481
12583,11169,7386
12583,11252,7463
12583,11249,7466
12583,11230,7365
12583,11251,7412
12583,11284,7467
12583,11264,7418
12583,11237,7460
12583,11220,7465
12583,11331,7362
12583,11201,7563
12583,11225,7431
12583,11191,7430
12583,11237,7375
12583,11227,7407
12583,11262,7417
12583,11248,7365
12583,11247,7411
12583,11256,7479
12583,11259,7353
12583,11200,7485
12583,11243,7468
12583,11246,7438
12583,11222,7372
12583,11279,7485
12583,11254,7426
12583,11255,7430
12583,11176,7418
12583,11213,7411
12583,11266,7408
12583,11205,7449
12583,11255,7438
12583,11245,7372
12583,11247,7406
12583,11221,7409
12583,11252,7389
12583,11220,7409
12583,11159,7518
12583,11277,7455
12583,11199,7400
12583,11244,7392
12583,11200,7448
12583,11251,7466
12583,11222,7420
12583,11251,7413
12583,11223,7364
12583,11273,7465
12583,11290,7390
12583,11216,7399
12583,11271,7422
12583,11278,7352
12583,11197,7419
12583,11224,7420
12583,11216,7384
12583,11251,7491
12583,11254,7488
12583,11217,7406
12583,11261,7461
12583,11289,7414
12583,11215,7443
12583,11213,7426
12583,11221,7374
12583,11209,7460
12583,11278,7477
12583,11269,7399
12583,11284,7417
12583,11254,7413
12583,11261,7447
12583,11256,7456
12583,11242,7432
12583,11322,7444
12583,11232,7465
12583,11228,7445
12583,11201,7420
12583,11205,7379
12583,11216,7355
12583,11254,7421
12583,11240,7452
12583,11249,7352
12583,11232,7299
12583,11197,7555
12583,11215,7453
12583,11215,7399
12583,11236,7462
12583,11287,7406
12583,11214,7436
12583,11212,7550
12583,11285,7429
12583,11247,7521
12583,11247,7500
12583,11213,7457
12583,11184,7419
12583,11208,7478
12583,11202,7435
12583,11234,7406
12583,11238,7371
12583,11214,7417
12583,11215,7367
12583,11241,7443
12583,11217,7395
12583,11227,7434
12583,11207,7436
12583,11225,7447
12583,11255,7466
12583,11184,7417
12583,11254,7405
12583,11215,7349
12583,11213,7420
12583,11201,7372
12583,11214,7427
12583,11236,7446
12583,11249,7440
12583,11205,7383
12583,11222,7401
12583,11222,7381
12583,11201,7436
12583,11195,7491
12583,11238,7451
12583,11227,7369
12583,11227,7395
12583,11243,7349
12583,11231,7422
12583,11226,7496
12583,11253,7368
12583,11250,7392
12583,11287,7398
12583,11209,7334
12583,11256,7462
12583,11273,7388
12583,11236,7458
12583,11170,7406
12583,11283,7467
12583,11255,7438
12583,11204,7407
12583,11268,7392
12583,11268,7482
12583,11222,7459
12583,11223,7414
12583,11205,7464
12583,11271,7415
12583,11286,7441
12583,11250,7482
12583,11264,7475
12583,11199,7413
12583,11226,7512
12583,11244,7416
12583,11284,7450
12583,11196,7333
12583,11205,7390
12583,11288,7346
12583,11188,7356
12583,11193,7412
12583,11261,7466
12583,11221,7434
12583,11234,7413
12583,11167,7379
12583,11288,7420
12583,11280,7373
12583,11264,7412
12583,11270,7426
12583,11187,7455
12583,11230,7413
12583,11235,7459
12583,11231,7430
12583,11244,7470
12583,11299,7476
12583,11195,7399
12583,11232,7544
12583,11256,7387
12583,11174,7407
12583,11168,7360
12583,11229,7400
12583,11231,7427
12583,11285,7391
12583,11236,7408
12583,11231,7435
12583,11232,7342
12583,11233,7443
12583,11232,7415
12583,11257,7461
12583,11219,7449
12583,11257,7493
12583,11291,7380
12583,11251,7423
12583,11226,7425
12583,11243,7405
12583,11203,7463
12583,11221,7389
12583,11265,7463
